id,Jelly White,Jelly Milk,Jelly Black,Amandina,Crème brulée,Triangolo,Tentation noir,Comtesse,Noblesse,Noir authentique,Passion au lait,Arabia,Stracciatella
1000003,0,4,0,0,1,0,2,0,0,1,2,0,1
1000001,0,1,4,3,1,1,1,0,0,0,0,0,2
1000004,0,1,0,1,0,2,5,0,1,0,0,0,4
1000006,1,0,0,1,1,2,3,0,0,0,1,2,1
1000000,1,3,1,0,0,0,0,1,1,5,1,2,1
1000005,1,1,0,2,0,0,1,5,2,0,0,2,1
1000002,0,1,1,0,0,0,0,3,0,0,5,0,1
1000010,2,1,0,5,1,0,0,0,5,0,0,0,1
1000013,1,1,0,1,2,1,1,1,0,0,0,5,1
1000012,1,1,2,0,0,0,1,3,0,0,1,2,0
1000008,0,0,0,2,4,2,0,2,0,0,5,0,1
1000014,0,0,1,0,1,0,0,1,0,3,2,1,0
1000007,0,2,0,0,5,4,1,3,1,2,5,1,0
1000020,1,2,0,1,1,0,0,2,1,0,2,0,0
1000021,2,0,2,0,4,0,1,0,0,2,1,0,0
1000017,0,0,1,1,0,0,0,2,2,0,0,1,5
1000022,4,1,0,1,0,1,0,0,0,0,0,0,1
1000019,1,5,5,2,0,0,1,3,0,3,3,1,0
1000025,0,1,0,0,0,0,0,2,0,0,2,0,0
1000023,1,1,0,2,3,1,1,1,1,0,1,1,0
1000026,2,1,0,0,2,0,1,0,1,1,5,0,1
1000027,0,1,1,0,0,1,1,0,0,1,1,5,0
1000024,3,5,5,0,2,1,0,2,0,0,0,0,3
1000029,0,1,3,0,4,0,1,1,3,0,3,1,3
1000035,0,0,5,0,0,0,1,2,1,0,0,1,0
1000032,1,1,1,0,0,0,0,0,4,3,1,3,1
1000033,1,1,1,0,1,5,2,3,5,0,3,2,1
1000031,3,1,0,4,1,4,4,2,0,0,1,1,3
1000034,3,0,1,1,0,0,0,1,2,0,5,5,0
1000036,1,0,0,1,2,0,2,0,1,1,0,1,4
1000040,5,3,0,0,0,0,0,5,1,0,0,1,0
1000039,0,1,0,1,0,0,0,0,1,0,4,1,1
1000037,1,4,1,2,0,0,2,1,0,1,1,1,0
1000044,0,0,1,0,0,2,1,1,1,0,0,0,1
1000042,0,1,0,2,1,1,0,0,0,0,0,5,1
1000041,0,0,0,1,1,2,3,1,2,2,1,2,2
1000046,1,0,0,3,0,0,1,1,3,4,0,2,0
1000043,1,0,0,2,0,2,1,0,1,2,1,1,2
1000045,2,2,1,1,0,0,1,1,1,4,5,1,0
1000048,1,1,4,0,4,3,1,1,1,0,1,0,2
1000047,0,0,0,1,0,0,1,0,3,3,0,1,4
1000049,1,1,0,4,0,0,1,1,1,0,1,0,0
