id,Jelly White,Jelly Milk,Jelly Black,Amandina,Crème brulée,Triangolo,Tentation noir,Comtesse,Noblesse,Noir authentique,Passion au lait,Arabia,Stracciatella
1000756,1,1,1,1,1,1,1,1,1,1,1,1,1
1000763,1,1,1,1,1,1,1,1,1,1,1,1,1
1000765,1,1,1,1,1,1,1,1,1,1,1,1,1
1000768,1,1,1,1,1,1,1,1,1,1,1,1,1
1000772,1,1,1,1,1,1,1,1,1,1,1,1,1
1000779,1,1,1,1,1,1,1,1,1,1,1,1,1
1000780,1,1,1,1,1,1,1,1,1,1,1,1,1
1000785,1,1,1,1,1,1,1,1,1,1,1,1,1
1000788,1,1,1,1,1,1,1,1,1,1,1,1,1
1000791,1,1,1,1,1,1,1,1,1,1,1,1,1
1000792,1,1,1,1,1,1,1,1,1,1,1,1,1
1000793,1,1,1,1,1,1,1,1,1,1,1,1,1
1000797,1,1,1,1,1,1,1,1,1,1,1,1,1
1000799,1,1,1,1,1,1,1,1,1,1,1,1,1
1000802,1,1,1,1,1,1,1,1,1,1,1,1,1
1000804,1,1,1,1,1,1,1,1,1,1,1,1,1
1000808,1,1,1,1,1,1,1,1,1,1,1,1,1
1000810,1,1,1,1,1,1,1,1,1,1,1,1,1
1000812,1,1,1,1,1,1,1,1,1,1,1,1,1
1000815,1,1,1,1,1,1,1,1,1,1,1,1,1
1000817,1,1,1,1,1,1,1,1,1,1,1,1,1
1000826,1,1,1,1,1,1,1,1,1,1,1,1,1
1000827,1,1,1,1,1,1,1,1,1,1,1,1,1
1000828,1,1,1,1,1,1,1,1,1,1,1,1,1
1000831,1,1,1,1,1,1,1,1,1,1,1,1,1
1000843,1,1,1,1,1,1,1,1,1,1,1,1,1
1000844,1,1,1,1,1,1,1,1,1,1,1,1,1
1000850,1,1,1,1,1,1,1,1,1,1,1,1,1
1000851,1,1,1,1,1,1,1,1,1,1,1,1,1
1000854,1,1,1,1,1,1,1,1,1,1,1,1,1
1000859,1,1,1,1,1,1,1,1,1,1,1,1,1
1000866,1,1,1,1,1,1,1,1,1,1,1,1,1
1000870,1,1,1,1,1,1,1,1,1,1,1,1,1
1000872,1,1,1,1,1,1,1,1,1,1,1,1,1
1000875,1,1,1,1,1,1,1,1,1,1,1,1,1
1000876,1,1,1,1,1,1,1,1,1,1,1,1,1
1000880,1,1,1,1,1,1,1,1,1,1,1,1,1
1000882,1,1,1,1,1,1,1,1,1,1,1,1,1
1000885,1,1,1,1,1,1,1,1,1,1,1,1,1
1000888,1,1,1,1,1,1,1,1,1,1,1,1,1
1000890,1,1,1,1,1,1,1,1,1,1,1,1,1
1000894,1,1,1,1,1,1,1,1,1,1,1,1,1
1000896,1,1,1,1,1,1,1,1,1,1,1,1,1
1000899,1,1,1,1,1,1,1,1,1,1,1,1,1
1000900,1,1,1,1,1,1,1,1,1,1,1,1,1
1000903,1,1,1,1,1,1,1,1,1,1,1,1,1
1000909,1,1,1,1,1,1,1,1,1,1,1,1,1
1000910,1,1,1,1,1,1,1,1,1,1,1,1,1
1000914,1,1,1,1,1,1,1,1,1,1,1,1,1
1000916,1,1,1,1,1,1,1,1,1,1,1,1,1
1000923,1,1,1,1,1,1,1,1,1,1,1,1,1
1000926,1,1,1,1,1,1,1,1,1,1,1,1,1
1000928,1,1,1,1,1,1,1,1,1,1,1,1,1
1000930,1,1,1,1,1,1,1,1,1,1,1,1,1
1000932,1,1,1,1,1,1,1,1,1,1,1,1,1
1000939,1,1,1,1,1,1,1,1,1,1,1,1,1
1000941,1,1,1,1,1,1,1,1,1,1,1,1,1
1000946,1,1,1,1,1,1,1,1,1,1,1,1,1
1000951,1,1,1,1,1,1,1,1,1,1,1,1,1
1000952,1,1,1,1,1,1,1,1,1,1,1,1,1
1000957,1,1,1,1,1,1,1,1,1,1,1,1,1
1000963,1,1,1,1,1,1,1,1,1,1,1,1,1
1000964,1,1,1,1,1,1,1,1,1,1,1,1,1
1000965,1,1,1,1,1,1,1,1,1,1,1,1,1
1000971,1,1,1,1,1,1,1,1,1,1,1,1,1
1000972,1,1,1,1,1,1,1,1,1,1,1,1,1
1000974,1,1,1,1,1,1,1,1,1,1,1,1,1
1000977,1,1,1,1,1,1,1,1,1,1,1,1,1
1000979,1,1,1,1,1,1,1,1,1,1,1,1,1
1000981,1,1,1,1,1,1,1,1,1,1,1,1,1
1000987,1,1,1,1,1,1,1,1,1,1,1,1,1
1000989,1,1,1,1,1,1,1,1,1,1,1,1,1
1000992,1,1,1,1,1,1,1,1,1,1,1,1,1
1000993,1,1,1,1,1,1,1,1,1,1,1,1,1
1001000,1,1,1,1,1,1,1,1,1,1,1,1,1
1010004,1,1,1,1,1,1,1,1,1,1,1,1,1
1010008,1,1,1,1,1,1,1,1,1,1,1,1,1
1010009,1,1,1,1,1,1,1,1,1,1,1,1,1
1010012,1,1,1,1,1,1,1,1,1,1,1,1,1
1010014,1,1,1,1,1,1,1,1,1,1,1,1,1
1010015,1,1,1,1,1,1,1,1,1,1,1,1,1
1010019,1,1,1,1,1,1,1,1,1,1,1,1,1
1010022,1,1,1,1,1,1,1,1,1,1,1,1,1
1010026,1,1,1,1,1,1,1,1,1,1,1,1,1
1010029,1,1,1,1,1,1,1,1,1,1,1,1,1
1010031,1,1,1,1,1,1,1,1,1,1,1,1,1
1010032,1,1,1,1,1,1,1,1,1,1,1,1,1
1010035,1,1,1,1,1,1,1,1,1,1,1,1,1
1010041,1,1,1,1,1,1,1,1,1,1,1,1,1
1010045,1,1,1,1,1,1,1,1,1,1,1,1,1
