epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,222.102,3.25407,3.74701,3.89122,0.15683,0.33146,0.11435,0.04291,2.19778,7.47671,2.90159,0.000663333,0.000663333,0.000663333
2,438.433,2.27777,2.4393,2.64207,0.54606,0.56554,0.53707,0.25978,1.64481,2.28081,2.10734,0.00130367,0.00130367,0.00130367
3,650.731,1.94501,1.98295,2.23571,0.44879,0.27154,0.29702,0.14118,1.6742,5.61181,1.96947,0.0019176,0.0019176,0.0019176
4,863.952,1.80324,1.73648,2.0589,0.47454,0.62921,0.54391,0.29032,1.34761,2.24994,1.74912,0.0018812,0.0018812,0.0018812
5,1060.22,1.69783,1.53367,1.93826,0.80036,0.8183,0.86415,0.52958,1.32243,1.36971,1.61678,0.0018416,0.0018416,0.0018416
6,1258.69,1.69128,1.51845,1.93974,0.84514,0.84082,0.90065,0.59545,1.1694,1.23023,1.51281,0.001802,0.001802,0.001802
7,1457.47,1.67065,1.43,1.90987,0.90477,0.82959,0.92474,0.5337,1.28589,1.20007,1.55934,0.0017624,0.0017624,0.0017624
8,1657.77,1.57498,1.41528,1.8394,0.37488,0.29401,0.26772,0.13057,1.65255,4.72499,2.01806,0.0017228,0.0017228,0.0017228
9,1857.62,1.60482,1.29,1.85266,0.92737,0.8847,0.95473,0.59912,1.27969,0.96471,1.53675,0.0016832,0.0016832,0.0016832
10,2054.8,1.47229,1.16383,1.75041,0.93195,0.87201,0.9573,0.64511,1.11264,1.03595,1.44879,0.0016436,0.0016436,0.0016436
11,2258.41,1.40516,1.07074,1.65478,0.95815,0.90035,0.96793,0.66067,1.1042,0.91847,1.42498,0.001604,0.001604,0.001604
12,2467.97,1.39249,1.01671,1.6456,0.97805,0.94195,0.98597,0.77114,0.84261,0.76037,1.29838,0.0015644,0.0015644,0.0015644
13,2669.28,1.36107,1.06757,1.62404,0.9274,0.86704,0.93792,0.64915,1.11692,0.91832,1.4615,0.0015248,0.0015248,0.0015248
14,2870.96,1.27799,0.91368,1.5583,0.95043,0.82583,0.93757,0.70259,0.9565,0.92869,1.34424,0.0014852,0.0014852,0.0014852
15,3076.58,1.26497,0.88621,1.53631,0.95582,0.93175,0.9777,0.78835,0.79366,0.68548,1.20731,0.0014456,0.0014456,0.0014456
16,3281.47,1.20879,0.868,1.48582,0.97502,0.95005,0.98456,0.79622,0.80046,0.63703,1.21932,0.001406,0.001406,0.001406
17,3486.49,1.13134,0.81393,1.42209,0.95532,0.96106,0.98606,0.77662,0.80798,0.69788,1.1889,0.0013664,0.0013664,0.0013664
18,3695.43,1.13404,0.82779,1.42686,0.95716,0.96235,0.98943,0.82156,0.71535,0.605,1.13887,0.0013268,0.0013268,0.0013268
19,3901.15,1.08727,0.78342,1.37605,0.98281,0.9638,0.98976,0.82604,0.70975,0.54931,1.13933,0.0012872,0.0012872,0.0012872
20,4108.84,1.035,0.76031,1.34948,0.98604,0.96816,0.99277,0.83356,0.69529,0.52722,1.12497,0.0012476,0.0012476,0.0012476
21,4321.34,1.0403,0.75664,1.35015,0.96448,0.9176,0.97874,0.78965,0.7785,0.63756,1.17242,0.001208,0.001208,0.001208
22,4532.51,1.04013,0.74572,1.34125,0.98114,0.97191,0.9906,0.81356,0.7336,0.51391,1.12927,0.0011684,0.0011684,0.0011684
23,4742.4,0.99525,0.69121,1.30353,0.99049,0.97536,0.994,0.83775,0.70236,0.49134,1.11552,0.0011288,0.0011288,0.0011288
24,4950.16,0.96436,0.67367,1.2762,0.99052,0.97878,0.99283,0.82198,0.70243,0.48846,1.09814,0.0010892,0.0010892,0.0010892
25,5155.29,0.9234,0.66428,1.26439,0.98663,0.96759,0.99184,0.83595,0.67286,0.50175,1.08667,0.0010496,0.0010496,0.0010496
